id,label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year
1,0,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbar§ã , h garcia-molina",vldb j.,1994,local verification of global integrity constraints in distributed databases,"a gupta , j widom",,
2,1,on-demand data elevation in hierarchical multimedia storage servers,"p triantafillou , t papadakis",vldb,1997,on-demand data elevation in a hierarchical multimedia storage server,"p triantallou , t papadakis","proc . of 23rd intl. conf . on very large data bases , vldb ,",1997
3,1,"database tuning : principles , experiments , and troubleshooting techniques","d shasha , p bonnet",vldb,2002,"database tuning : principles , experiments , and troubleshooting techniques ( part i )","d shasha , p bonnet","proceedings of the 2002 acm sigmod international conference & hellip ; ,",2002
4,0,dna-miner : a system prototype for mining dna sequences,"j han , h jamil , y lu , l chen , y liao , j pei",sigmod conference,2001,n. stefanovic 1997 a ?? geominer : a system prototype for spatial data mininga ??,"j han , k koperski",proc . acm-sigmod int . conf . on management of data ( sigmod &#39; 97,
5,0,communication efficient distributed mining of association rules,"a schuster , r wolff",sigmod conference,2001,mining generalized association rules,"r agrawal , r srikant","proceedings of the 1995 international conference of very & hellip ; ,",
6,0,global transaction support for workflow management systems : from formal specification to practical implementation,"p grefen , j vonk , p apers",vldb j.,2001,distributed transaction support for workflow management applications,"j vonk , p grefen , e boertjes , p apers","procs . 10th int . conf . on database and expert system & hellip ; ,",
7,0,the x-tree : an index structure for high-dimensional data,"s berchtold , d keim , h kriegel",vldb,1996,"the tv-tree { an index structure for high-dimensional data . the vldb journal , 3 ( 4 ) : 517 { 549","ki lin , hv jagadish , c faloutsos",,1994
8,0,an extensible compressor for xml data,"h liefke , d suciu",sigmod record,2000,xmill : an efficient compressor for xml data,"l hartmut , d suciu",,
9,0,database systems management and oracle8,c doherty,sigmod conference,1998,the cedar database management system,m browna ? |,"proc . 1981 acmsigmod conference on management of data , ann & hellip ; ,",
10,1,a critique of ansi sql isolation levels,"h berenson , p bernstein , j gray , j melton , e o'neil , p o'neil",sigmod conference,1995,a critique of ansi sql isolation levels,"h berenson , p bernstein , j gray , j melton","proceedings of the acm sigmod international conference on & hellip ; ,",1995
11,0,online association rule mining,c hidber,sigmod conference,1999,mining fuzzy association rules in database,"mk chan , f ada , hw man","sigmod record ,",
12,0,mixed mode xml query processing,"a halverson , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian , s viglas , y wang , j naughton , d dewitt",vldb,2003,a transducer-based xml query processor,", p mukhopadhyay , y papakonstantinou","vldb ,",2002
