id,label,left_name,left_addr,left_city,left_phone,left_cc,left_class,right_name,right_addr,right_city,right_phone,right_cc,right_class
1,0,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,` white house restaurant ',' 3172 peachtree rd. ne ',atlanta,404-237-7601,diners,719
2,0,` gallagher \ 's ',' 228 w. 52nd st. ',` new york ',212/245 -5336,american,254,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623
3,0,` center stage plaza hotel ',' 1 main st. ',` las vegas ',702/386 -2512,american,436,` chinois on main ',' 2709 main st. ',` santa monica ',310-392-9025,` pacific new wave ',5
4,0,` sa tsu ki ',' 3043 buford hwy . ',atlanta,404/325 -5285,asian,415,` havana sandwich shop ',' 2905 buford hwy . ',atlanta,404-636-4094,cuban,695
5,0,` pinot bistro ',' 12969 ventura blvd. ',` los angeles ',818/990 -0500,french,18,` mulberry st. ',' 17040 ventura blvd. ',encino,818-906-8881,pizza,580
6,0,` china grill ','60 w. 53rd st. ',` new york ',212/333 -7788,american,219,seryna,'11 e. 53rd st. ',` new york city ',212-980-9393,japanese,59
7,0,lespinasse,' 2 e. 55th st. ',` new york ',212/339 -6719,american,43,` la caravelle ','33 w. 55th st. ',` new york city ',212-586-4252,` french ( classic ) ',39
8,0,` tang pavillion ','65 w. 55th st. ',` new york ',212/956 -6888,asian,356,menchanko-tei,'39 w. 55th st. ',` new york city ',212-247-1585,japanese,627
9,0,aquavit,'13 w. 54th st. ',` new york ',212/307 -7311,continental,24,oceana,'55 e. 54th st. ',` new york city ',212-759-5941,seafood,50
10,0,abbey,' 163 ponce de leon ave. ',atlanta,404/876 -8532,international,379,eats,' 600 ponce de leon ave. ',atlanta,404-888-9149,italian,690
11,0,` fifty seven fifty seven ','57 e. 57th st. ',` new york ',212/758 -5757,american,239,oceana,'55 e. 54th st. ',` new york city ',212-759-5941,seafood,50
12,0,` grand cafe hotel monaco ',' 501 geary st. ',` san francisco ',415/292 -0101,american,473,` mel \ 's drive-in ',' 3355 geary st. ',` san francisco ',415-387-2244,hamburgers,739
13,0,` horseradish grill ',' 4320 powers ferry rd. ',atlanta,404/255 -7277,southern,398,` carey \ 's corner ',' 1215 powers ferry rd. ',marietta,770-933-0909,hamburgers,686
14,0,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,` original pancake house ( at ) ',' 4330 peachtree rd. ',atlanta,404-237-4116,american,708
15,0,bruno,' 240 e. 58th st. ',` new york ',212/688 -4190,italian,195,` les celebrites ',' 155 w. 58th st. ',` new york city ',212-484-5113,` french ( classic ) ',42
16,0,eclipse,' 8800 melrose ave. ',` los angeles ',310/724 -5959,californian,132,` mo better meatty meat ',' 7261 melrose ave. ',la,213-935-5280,hamburgers,579
17,0,` pacific dining car ',' 6th st. ',` los angeles ',213/483 -6000,american,153,` andre \ 's french restaurant ',' 401 s. 6th st. ',` las vegas ',702-385-5016,` french ( classic ) ',656
18,1,` rainbow room ','30 rockefeller plaza ',` new york ',212/632 -5000,` or 212/632 -5100 american ',55,` rainbow room ','30 rockefeller plaza ',` new york city ',212-632-5000,` american ( new ) ',55
19,1,` cafe claude ',' 7 claude la . ',` san francisco ',415/392 -3505,french,97,` cafe claude ',' 7 claude ln . ',` san francisco ',415-392-3505,` french bistro ',97
20,0,` yolie \ 's ',' 3900 paradise rd. ',` las vegas ',702/794 -0700,` steak houses ',452,` nicky blair \ 's ',' 3925 paradise rd. ',` las vegas ',702-792-9900,italian,668
21,0,` heera of india ',' 595 piedmont ave. rio shopping mall ',atlanta,404/876 -4408,asian,83,` rose of india ',' 308 e. sixth st. ',` new york city ',212-533-5011,indian,638
22,0,` l \ ` osteria del forno ',' 519 columbus ave. ',` san francisco ',415/982 -1124,italian,490,` campo santo ',' 240 columbus ave. ',` san francisco ',415-433-9623,mexican,724
23,0,` bertolini \ 's ',' 3570 las vegas blvd. s ',` las vegas ',702/735 -4663,italian,427,moongate,' 3400 las vegas blvd. s. ',` las vegas ',702-791-7352,chinese,666
24,0,maykadeh,' 470 green st. ',` san francisco ',415/362 -8286,` greek and middle eastern ',495,` greenwood \ 's ',' 1087 green st. ',roswell,770-992-5383,southern/soul,693
25,0,dawat,' 210 e. 58th st. ',` new york ',212/355 -7555,asian,32,petrossian,' 182 w. 58th st. ',` new york city ',212-245-2214,russian,52
26,0,` the bacchanal ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7525,` only in las vegas ',449,` steak house the ',' 2880 las vegas blvd. s. ',` las vegas ',702-734-0410,steakhouses,72
27,0,posto,' 14928 ventura blvd. ',` sherman oaks ',818/784 -4400,italian,156,` rubin \ 's red hots ',' 15322 ventura blvd. ',encino,818-905-6515,` hot dogs ',590
28,0,` antonio \ 's ',' 3700 w. flamingo ',` las vegas ',702/252 -7737,italian,423,` buzio \ 's in the rio ',' 3700 w. flamingo rd. ',` las vegas ',702-252-7697,seafood,658
29,0,` ruth \ 's chris ',' 148 w. 51st st. ',` new york ',212/245 -9600,american,338,` le bernardin ',' 155 w. 51st st. ',` new york city ',212-489-1515,seafood,41
